지자체명,고령인구비율,65세이상인구,전체인구
강남구(서울특별시),14.5,"77,474","533,878"
강동구(서울특별시),15.8,"73,462","463,752"
강북구(서울특별시),21.3,"63,932","300,278"
강서구(서울특별시),15.9,"91,673","575,370"
관악구(서울특별시),16.2,"79,191","487,357"
광진구(서울특별시),15,"51,197","340,814"
구로구(서울특별시),17.9,"71,025","397,330"
금천구(서울특별시),17.4,"40,254","230,740"
노원구(서울특별시),17.1,"87,722","512,129"
도봉구(서울특별시),20,"63,689","318,299"
동대문구(서울특별시),18.3,"61,777","337,538"
동작구(서울특별시),17.1,"66,141","386,246"
마포구(서울특별시),14.6,"54,096","369,695"
서대문구(서울특별시),17.6,"53,766","305,840"
서초구(서울특별시),14.6,"60,490","415,083"
성동구(서울특별시),16,"45,987","287,174"
성북구(서울특별시),17.2,"74,310","432,081"
송파구(서울특별시),14.7,"96,761","659,239"
양천구(서울특별시),15.2,"68,048","448,634"
영등포구(서울특별시),16.2,"61,156","377,524"
용산구(서울특별시),17.2,"38,504","223,713"
은평구(서울특별시),18.3,"86,662","473,369"
종로구(서울특별시),19,"27,622","145,346"
중구(서울특별시),19.5,"23,965","122,781"
중랑구(서울특별시),18.3,"71,068","388,218"
가평군(경기도),27.2,"16,939","62,241"
고양시(경기도),14.2,"153,042","1,080,240"
과천시(경기도),14.2,"9,947","69,910"
광명시(경기도),14.6,"42,947","294,458"
광주시(경기도),14.1,"54,686","386,496"
구리시(경기도),14.4,"27,716","193,014"
군포시(경기도),14.1,"38,073","269,215"
김포시(경기도),12.8,"62,026","485,859"
남양주시(경기도),14.7,"107,182","729,918"
동두천시(경기도),21.2,"19,788","93,508"
부천시(경기도),14.6,"117,613","808,047"
성남시(경기도),14.7,"137,089","931,319"
수원시(경기도),11.7,"138,133","1,185,276"
시흥시(경기도),9.8,"50,355","511,888"
안산시(경기도),11.6,"75,794","654,117"
안성시(경기도),18.1,"34,376","189,732"
안양시(경기도),14.4,"78,634","547,258"
양주시(경기도),16.4,"38,710","236,205"
양평군(경기도),26.5,"32,170","121,188"
여주시(경기도),22.9,"25,672","112,260"
연천군(경기도),27.5,"11,759","42,797"
오산시(경기도),10.2,"23,393","230,403"
용인시(경기도),13.8,"149,421","1,079,609"
의왕시(경기도),14.3,"23,444","163,704"
의정부시(경기도),15.7,"73,021","463,665"
이천시(경기도),14.6,"32,779","224,066"
파주시(경기도),14.2,"68,204","479,183"
평택시(경기도),12.4,"69,476","559,363"
포천시(경기도),20.7,"30,818","148,618"
하남시(경기도),13,"40,816","314,866"
화성시(경기도),9.2,"81,449","881,154"
강릉시(강원도),22,"46,940","213,155"
고성군(강원도),30.3,"8,192","27,014"
동해시(강원도),21,"18,928","90,115"
삼척시(강원도),26.4,"16,845","63,833"
속초시(강원도),20,"16,523","82,579"
양구군(강원도),22.3,"4,882","21,925"
양양군(강원도),30.8,"8,636","28,026"
영월군(강원도),30.8,"11,712","38,011"
원주시(강원도),15.8,"56,172","356,625"
인제군(강원도),21.3,"6,828","32,090"
정선군(강원도),29,"10,332","35,659"
철원군(강원도),23.7,"10,295","43,489"
춘천시(강원도),18.5,"52,537","283,803"
태백시(강원도),26.2,"10,776","41,055"
평창군(강원도),29.8,"12,229","41,006"
홍천군(강원도),27.7,"18,952","68,499"
화천군(강원도),23.5,"5,702","24,247"
