지자체명,전체유동인구,병원 수,병상 수
서울특별시,"4,805만명","2,559개","8,082개"
강남구(서울특별시),440만명,761개,"5,937개"
강동구(서울특별시),146만명,447개,"2,040개"
강북구(서울특별시),"896,009명",777개,"3,508개"
강서구(서울특별시),241만명,673개,"2,341개"
관악구(서울특별시),155만명,543개,"2,278개"
광진구(서울특별시),170만명,557개,"3,893개"
구로구(서울특별시),187만명,330개,"2,035개"
금천구(서울특별시),109만명,717개,"3,906개"
노원구(서울특별시),172만명,367개,"3,002개"
도봉구(서울특별시),"937,167명",605개,"6,349개"
동대문구(서울특별시),134만명,560개,"2,865개"
동작구(서울특별시),170만명,717개,722개
마포구(서울특별시),231만명,432개,"3,755개"
서대문구(서울특별시),125만명,"1,229개","3,543개"
서초구(서울특별시),400만명,432개,"2,173개"
성동구(서울특별시),174만명,525개,"3,126개"
성북구(서울특별시),151만명,"1,106개","6,677개"
송파구(서울특별시),329만명,621개,"2,757개"
양천구(서울특별시),150만명,729개,"5,604개"
영등포구(서울특별시),278만명,298개,992개
용산구(서울특별시),207만명,623개,"3,292개"
은평구(서울특별시),130만명,500개,"3,387개"
종로구(서울특별시),178만명,543개,"1,533개"
중구(서울특별시),204만명,491개,"3,003개"
중랑구(서울특별시),132만명,64개,794개
경기도,"6,646만명","1,169개","12,847개"
가평군(경기도),"706,058명",68개,0개
고양시(경기도),nan,398개,"2,082개"
과천시(경기도),"603,394명",255개,"1,898개"
광명시(경기도),131만명,220개,"2,906개"
광주시(경기도),206만명,300개,"2,399개"
구리시(경기도),106만명,nan,nan
군포시(경기도),111만명,nan,nan
권선구(경기도),154만명,393개,"3,044개"
기흥구(경기도),224만명,608개,"6,149개"
김포시(경기도),208만명,nan,nan
남양주시(경기도),313만명,nan,nan
단원구(경기도),163만명,92개,"2,834개"
덕양구(경기도),219만명,nan,nan
동두천시(경기도),"299,588명",nan,nan
동안구(경기도),136만명,"1,072개","12,126개"
만안구(경기도),103만명,nan,nan
부천시(경기도),270만명,nan,nan
분당구(경기도),272만명,"1,561개","9,626개"
상록구(경기도),129만명,"1,528개","11,694개"
성남시(경기도),nan,nan,nan
수원시(경기도),nan,nan,nan
수정구(경기도),100만명,398개,"3,781개"
수지구(경기도),127만명,729개,"9,819개"
시흥시(경기도),269만명,155개,"2,168개"
안산시(경기도),nan,823개,"4,505개"
안성시(경기도),165만명,147개,"2,729개"
안양시(경기도),nan,106개,"1,262개"
양주시(경기도),133만명,117개,"1,949개"
양평군(경기도),103만명,33개,281개
여주시(경기도),111만명,nan,nan
연천군(경기도),"260,231명",146개,"2,471개"
영통구(경기도),156만명,990개,"8,122개"
오산시(경기도),"887,086명",148개,"1,972개"
용인시(경기도),nan,517개,"5,005개"
의왕시(경기도),"970,951명",207개,"2,006개"
의정부시(경기도),163만명,nan,nan
이천시(경기도),178만명,nan,nan
일산동구(경기도),139만명,nan,nan
일산서구(경기도),108만명,nan,nan
장안구(경기도),"914,720명",nan,nan
중원구(경기도),"790,367명",376개,"4,345개"
처인구(경기도),191만명,nan,nan
파주시(경기도),206만명,496개,"3,946개"
팔달구(경기도),"941,597명",123개,"1,438개"
평택시(경기도),328만명,226개,882개
포천시(경기도),127만명,641개,"4,713개"
하남시(경기도),134만명,230개,"2,888개"
화성시(경기도),507만명,17개,0개
강원도,993만명,98개,"1,541개"
강릉시(강원도),127만명,55개,450개
고성군(강원도),"220,585명",117개,746개
동해시(강원도),"352,914명",18개,221개
삼척시(강원도),"369,359명",15개,0개
속초시(강원도),"497,902명",28개,389개
양구군(강원도),"120,129명",412개,"4,863개"
양양군(강원도),"300,349명",22개,138개
영월군(강원도),"272,359명",22개,261개
원주시(강원도),207만명,35개,354개
인제군(강원도),"363,144명",324개,"4,162개"
